Store,DayOfWeek,Promo,SchoolHoliday,med_Sales
1,1,0,0,3961
1,1,0,1,4260
1,1,1,1,6194
1,1,1,0,5695
1,2,0,0,3794
1,2,0,1,3759.5
1,2,1,1,5433
1,2,1,0,5253
1,3,0,1,3849
1,3,0,0,3806
1,3,1,1,4978
1,3,1,0,4958.5
1,4,0,1,3913
1,4,0,0,3795
1,4,1,1,4520.5
1,4,1,0,4794.5
1,5,0,1,4147.5
1,5,0,0,4150
1,5,1,1,4490
1,5,1,0,5187
1,6,0,1,4443
1,6,0,0,4953
2,1,0,0,4006
2,1,0,1,4112
2,1,1,0,7223
2,1,1,1,7371
2,2,0,0,4057.5
2,2,0,1,3982
2,2,1,0,6359
2,2,1,1,6077
2,3,0,1,4599.5
2,3,0,0,4934
2,3,1,0,6623
2,3,1,1,6412
2,4,0,1,3917.5
2,4,0,0,4108
2,4,1,0,5529.5
2,4,1,1,5283
2,5,0,1,4177.5
2,5,0,0,4032
2,5,1,0,4951
2,5,1,1,4890
2,6,0,0,2735
3,1,0,0,5394.5
3,1,0,1,5991
3,1,1,0,10032.5
3,1,1,1,10142
3,2,0,0,5393.5
3,2,0,1,5847
3,2,1,0,8969.5
3,2,1,1,9023
3,3,0,1,5557
3,3,0,0,5390
3,3,1,0,8387.5
3,3,1,1,8452
3,4,0,1,5902
3,4,0,0,5425.5
3,4,1,0,7784
3,4,1,1,8309
3,5,0,1,5757
3,5,0,0,6175
3,5,1,0,7993
3,5,1,1,7516.5
3,6,0,0,4221
4,1,0,0,8439.5
4,1,0,1,9674
4,1,1,0,11863
4,1,1,1,12391
4,2,0,0,7543
4,2,0,1,9489
4,2,1,0,9977
4,2,1,1,10381
4,3,0,1,8025
4,3,0,0,7561.5
4,3,1,0,9280
4,3,1,1,9801.5
4,4,0,1,8238.5
4,4,0,0,7481
4,4,1,0,9446
4,4,1,1,9918
4,5,0,1,9247
4,5,0,0,7947
4,5,1,0,9986
4,5,1,1,9831.5
4,6,0,0,9978
5,1,0,0,4033.5
5,1,0,1,4225
5,1,1,0,7526
5,1,1,1,7521
5,2,0,0,3834.5
5,2,0,1,3831
5,2,1,0,6100
5,2,1,1,5662
5,3,0,1,4264.5
5,3,0,0,4230
5,3,1,0,5958
5,3,1,1,5724
5,4,0,0,3765
5,4,0,1,3860.5
5,4,1,0,5065
5,4,1,1,5039.5
5,5,0,0,4227
5,5,0,1,4432
5,5,1,0,5188
5,5,1,1,4907
5,6,0,0,2000.5
6,1,0,0,4984.5
6,1,0,1,5496
6,1,1,0,7736
6,1,1,1,7218
6,2,0,0,4750.5
6,2,0,1,5001
6,2,1,0,6831
6,2,1,1,5867
6,3,0,1,4464
6,3,0,0,4735
6,3,1,0,6514
6,3,1,1,5589
6,4,0,0,4555
6,4,0,1,4748
